epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.899,1.69754,3.48735,1.54959,0.13096,0.25394,0.07412,0.035,1.48214,3.10508,1.33742,0.00033165,0.00033165,0.0671667
2,86.9747,1.47387,2.73016,1.37376,0.46534,0.43329,0.4051,0.22646,1.38726,2.10204,1.30642,0.00059915,0.00059915,0.0341008
3,121.123,1.42247,1.99819,1.33034,0.58749,0.53802,0.5524,0.32762,1.34424,1.72537,1.24901,0.00080065,0.00080065,0.000969
4,154.793,1.3872,1.79721,1.2896,0.64715,0.52941,0.5916,0.34973,1.35072,1.63541,1.20971,0.000703,0.000703,0.000703
5,190.982,1.34655,1.67322,1.25584,0.68974,0.54383,0.63917,0.39014,1.2973,1.53299,1.1961,0.000604,0.000604,0.000604
6,225.171,1.31964,1.6085,1.22967,0.74417,0.54878,0.65336,0.39884,1.27603,1.4827,1.1888,0.000505,0.000505,0.000505
7,258,1.30769,1.54935,1.21373,0.71807,0.5868,0.67341,0.4183,1.25592,1.44309,1.17112,0.000406,0.000406,0.000406
8,292.111,1.26767,1.4888,1.1915,0.73592,0.58972,0.68402,0.42807,1.24747,1.39925,1.17027,0.000307,0.000307,0.000307
9,325.918,1.28321,1.49622,1.20431,0.74605,0.59469,0.69241,0.43456,1.25244,1.37721,1.17158,0.000208,0.000208,0.000208
10,358.836,1.26034,1.44909,1.19078,0.74172,0.59039,0.69303,0.43789,1.23727,1.3667,1.15156,0.000109,0.000109,0.000109
