epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.944,1.71606,3.51067,1.55356,0.0075,0.63773,0.06827,0.03075,1.44734,3.2339,1.32467,0.000329966,0.000329966,0.0673333
2,55.988,1.46253,2.7631,1.35422,0.42211,0.4505,0.38017,0.20378,1.43557,2.19339,1.31536,0.000597633,0.000597633,0.0342677
3,77.8697,1.41954,1.95975,1.30034,0.65275,0.49085,0.56371,0.33416,1.33225,1.73917,1.22203,0.0007993,0.0007993,0.001136
4,98.9558,1.37997,1.74982,1.25691,0.67655,0.55022,0.62222,0.37625,1.31672,1.59131,1.214,0.000703,0.000703,0.000703
5,121.199,1.33196,1.60872,1.2214,0.67452,0.58752,0.6463,0.3914,1.30047,1.5341,1.18858,0.000604,0.000604,0.000604
6,143.233,1.30693,1.55051,1.20377,0.68722,0.59541,0.66551,0.41164,1.2887,1.47052,1.17454,0.000505,0.000505,0.000505
7,164.737,1.29016,1.48969,1.17956,0.69346,0.60857,0.67923,0.42531,1.2534,1.43226,1.15914,0.000406,0.000406,0.000406
8,187.882,1.27869,1.42766,1.17515,0.71446,0.6076,0.68996,0.4296,1.25541,1.39086,1.15787,0.000307,0.000307,0.000307
9,209.247,1.26758,1.4123,1.17223,0.72913,0.59828,0.70379,0.44137,1.23821,1.3666,1.15366,0.000208,0.000208,0.000208
10,231.07,1.26019,1.40964,1.16966,0.74962,0.59469,0.70495,0.44543,1.22965,1.35157,1.13932,0.000109,0.000109,0.000109
