epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6184,1.68471,2.12605,1.52825,0.54856,0.44333,0.46198,0.24788,1.60225,1.76417,1.51106,0.00033165,0.00033165,0.0671667
2,79.6185,1.57776,1.61894,1.42076,0.6497,0.50287,0.56649,0.30395,1.54804,1.63619,1.44511,0.00059915,0.00059915,0.0341008
3,115.535,1.54428,1.54303,1.45888,0.6577,0.533,0.59142,0.33553,1.49551,1.50439,1.41632,0.00080065,0.00080065,0.000969
4,151.354,1.50935,1.47174,1.41292,0.68914,0.51843,0.60842,0.35099,1.46412,1.45443,1.37211,0.000703,0.000703,0.000703
5,186.684,1.45558,1.36557,1.36487,0.65189,0.56098,0.61707,0.35384,1.44525,1.39201,1.35162,0.000604,0.000604,0.000604
6,221.691,1.43411,1.32372,1.34486,0.68152,0.61557,0.67531,0.4078,1.38197,1.3148,1.30157,0.000505,0.000505,0.000505
7,260.281,1.36732,1.23654,1.29279,0.66659,0.61097,0.67072,0.40769,1.37331,1.23376,1.28759,0.000406,0.000406,0.000406
8,295.438,1.33958,1.16611,1.27168,0.69701,0.64361,0.70763,0.4403,1.30712,1.1505,1.25529,0.000307,0.000307,0.000307
9,329.96,1.31304,1.13469,1.26195,0.71401,0.6571,0.72727,0.45325,1.28515,1.12155,1.24118,0.000208,0.000208,0.000208
10,363.742,1.25595,1.07544,1.2291,0.72322,0.6693,0.74417,0.47296,1.25019,1.07568,1.21149,0.000109,0.000109,0.000109
