epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4251,1.65698,2.15094,1.45725,0.52303,0.19588,0.23305,0.13069,1.72369,3.0569,1.62673,0.000329966,0.000329966,0.0673333
2,51.1441,1.54175,1.55135,1.37976,0.58734,0.45026,0.49501,0.29064,1.49394,1.65647,1.43157,0.000597633,0.000597633,0.0342677
3,71.0748,1.51753,1.46853,1.36992,0.65859,0.53013,0.60197,0.35033,1.45665,1.42433,1.36755,0.0007993,0.0007993,0.001136
4,90.9649,1.48384,1.37916,1.34162,0.64616,0.55022,0.6257,0.35628,1.48585,1.38909,1.33146,0.000703,0.000703,0.000703
5,109.714,1.43457,1.2883,1.30218,0.62301,0.56815,0.63292,0.37702,1.41654,1.31859,1.30592,0.000604,0.000604,0.000604
6,129.398,1.38338,1.23217,1.27736,0.68014,0.59971,0.66301,0.40364,1.39322,1.33895,1.2754,0.000505,0.000505,0.000505
7,148.022,1.34166,1.16986,1.23844,0.71959,0.60933,0.69164,0.43288,1.33244,1.18858,1.25086,0.000406,0.000406,0.000406
8,167.033,1.30868,1.10412,1.21488,0.70803,0.65065,0.72178,0.44612,1.32247,1.13823,1.23884,0.000307,0.000307,0.000307
9,186.037,1.27076,1.06476,1.19942,0.73424,0.65998,0.73815,0.46485,1.27032,1.15157,1.21286,0.000208,0.000208,0.000208
10,204.678,1.24968,1.03005,1.18746,0.72451,0.6528,0.73496,0.47203,1.24783,1.0663,1.19485,0.000109,0.000109,0.000109
