epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6069,1.62081,2.56773,1.47795,0.49809,0.42611,0.43394,0.22849,1.6242,2.02961,1.43129,0.006633,0.006633,0.073468
2,82.1137,1.6195,1.83626,1.45881,0.31219,0.22095,0.19849,0.0987,1.98741,2.73721,1.86269,0.011983,0.011983,0.0454847
3,115.108,1.70669,1.84836,1.53128,0.34373,0.28336,0.24622,0.11055,1.88529,2.34011,1.74813,0.016013,0.016013,0.0161813
4,147.042,1.73109,1.83804,1.5505,0.44786,0.35796,0.34421,0.16732,1.92906,2.14782,1.71512,0.01406,0.01406,0.01406
5,181.703,1.68046,1.6818,1.51682,0.53662,0.43472,0.4407,0.21532,1.73471,1.80328,1.5299,0.01208,0.01208,0.01208
6,218.905,1.60741,1.58774,1.4606,0.58457,0.40316,0.44624,0.23949,1.71182,1.83266,1.54707,0.0101,0.0101,0.0101
7,254.393,1.55944,1.48806,1.42168,0.6324,0.54806,0.58419,0.32166,1.51859,1.47926,1.41868,0.00812,0.00812,0.00812
8,285.152,1.46731,1.36482,1.36741,0.66365,0.55667,0.6146,0.35544,1.4411,1.39511,1.33731,0.00614,0.00614,0.00614
9,316.269,1.42576,1.30943,1.34399,0.70499,0.5825,0.67226,0.40187,1.40137,1.29809,1.3106,0.00416,0.00416,0.00416
10,347.554,1.36565,1.23302,1.30381,0.70486,0.60617,0.68392,0.42791,1.30887,1.20272,1.26958,0.00218,0.00218,0.00218
