epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7572,2.13987,2.44539,1.93493,0.14091,0.27905,0.12136,0.04529,2.3298,25.8213,2.57003,0.0033165,0.0033165,0.0701515
2,73.5523,2.11717,2.20322,1.99513,0.2716,0.24247,0.18471,0.08085,2.16305,3.2525,2.13941,0.0059915,0.0059915,0.0394932
3,105.419,2.03104,2.13628,1.94301,0.36773,0.32855,0.28824,0.13138,1.9804,2.52276,1.92323,0.0080065,0.0080065,0.00817485
4,136.664,1.93972,2.01233,1.83732,0.48389,0.39076,0.3783,0.16726,1.96657,2.04555,1.89698,0.00703,0.00703,0.00703
5,173.29,1.85204,1.8378,1.7521,0.40878,0.32999,0.30351,0.13504,2.01195,2.33826,1.90392,0.00604,0.00604,0.00604
6,203.697,1.75805,1.74374,1.68638,0.61159,0.46126,0.50942,0.25349,1.74978,1.75714,1.67968,0.00505,0.00505,0.00505
7,234.363,1.70643,1.6604,1.63764,0.54464,0.47704,0.50128,0.26184,1.68327,1.66223,1.64212,0.00406,0.00406,0.00406
8,266.095,1.6454,1.54053,1.58459,0.57163,0.51148,0.54445,0.2968,1.62982,1.55621,1.58619,0.00307,0.00307,0.00307
9,297.889,1.59307,1.51436,1.54693,0.64114,0.5122,0.57904,0.32171,1.59097,1.54759,1.53813,0.00208,0.00208,0.00208
10,327.72,1.5326,1.43518,1.50346,0.66749,0.5573,0.62174,0.36247,1.49321,1.42479,1.47397,0.00109,0.00109,0.00109
