epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0989,1.74114,3.52898,1.5622,0.00736,0.62554,0.06869,0.03035,1.44435,3.29103,1.31924,0.000326667,0.000326667,0.06766
2,50.8998,1.46759,2.79294,1.35873,0.51903,0.28479,0.33673,0.17724,1.43265,2.53807,1.28508,0.00059466,0.00059466,0.0345947
3,69.3168,1.42565,1.9984,1.30384,0.58752,0.50646,0.53492,0.31353,1.37587,1.83611,1.2298,0.000796653,0.000796653,0.00146332
4,87.4568,1.38669,1.72281,1.24892,0.6686,0.52726,0.59132,0.33933,1.32495,1.69208,1.19755,0.000703,0.000703,0.000703
5,105.569,1.33995,1.60892,1.21377,0.67486,0.56282,0.63672,0.39403,1.28899,1.56379,1.17793,0.000604,0.000604,0.000604
6,124.546,1.31369,1.54267,1.19772,0.70772,0.58895,0.66742,0.41626,1.28522,1.49153,1.18041,0.000505,0.000505,0.000505
7,143.299,1.29017,1.44642,1.18526,0.70092,0.599,0.68773,0.42799,1.2575,1.43485,1.1571,0.000406,0.000406,0.000406
8,161.622,1.25473,1.39411,1.15858,0.67336,0.6406,0.69719,0.44155,1.25939,1.38453,1.15476,0.000307,0.000307,0.000307
9,179.396,1.26311,1.37998,1.15535,0.747,0.60617,0.70672,0.44548,1.24285,1.37202,1.14578,0.000208,0.000208,0.000208
10,197.993,1.2395,1.3594,1.15364,0.72474,0.62912,0.70917,0.45256,1.23886,1.35518,1.14404,0.000109,0.000109,0.000109
