epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3908,1.59236,2.73447,1.45048,0.56283,0.44046,0.47237,0.2604,1.46886,1.90081,1.33191,0.0033165,0.0033165,0.0701515
2,78.9465,1.48542,1.76594,1.34242,0.63015,0.4779,0.54221,0.30575,1.4247,1.70815,1.32185,0.0059915,0.0059915,0.0394932
3,110.397,1.5314,1.66855,1.3835,0.56967,0.46722,0.50849,0.27049,1.55789,1.68666,1.38522,0.0080065,0.0080065,0.00817485
4,143.807,1.56134,1.65838,1.40545,0.58554,0.46619,0.49515,0.25676,1.68694,1.74475,1.48554,0.00703,0.00703,0.00703
5,177.042,1.5219,1.55226,1.37443,0.58316,0.4175,0.43481,0.22967,1.62909,1.92053,1.49787,0.00604,0.00604,0.00604
6,211.138,1.46845,1.44933,1.32639,0.654,0.57102,0.63963,0.37143,1.44368,1.39139,1.30607,0.00505,0.00505,0.00505
7,241.149,1.42453,1.36762,1.30137,0.70589,0.57334,0.64865,0.38695,1.39588,1.35,1.28462,0.00406,0.00406,0.00406
8,274.013,1.37566,1.28227,1.26488,0.6798,0.59853,0.65119,0.38989,1.3477,1.30607,1.2647,0.00307,0.00307,0.00307
9,305.368,1.33426,1.24084,1.25583,0.69631,0.6076,0.6894,0.42669,1.32791,1.2488,1.23951,0.00208,0.00208,0.00208
10,336.076,1.27177,1.16522,1.21769,0.73575,0.63115,0.71059,0.44501,1.2633,1.16973,1.20313,0.00109,0.00109,0.00109
