epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0378,1.60421,2.5702,1.45028,0.71415,0.24032,0.38386,0.19917,1.59377,2.50679,1.43727,0.00659933,0.00659933,0.0736027
2,54.7641,1.59357,1.79874,1.40452,0.47447,0.30129,0.31942,0.15505,1.76531,2.16975,1.59202,0.0119527,0.0119527,0.0456227
3,76.1963,1.65361,1.79137,1.45221,0.37336,0.25681,0.22844,0.10521,2.16948,2.6254,2.05321,0.015986,0.015986,0.0163227
4,97.6003,1.71212,1.73884,1.51271,0.52328,0.39765,0.41455,0.19679,1.83586,1.95079,1.66027,0.01406,0.01406,0.01406
5,122.103,1.66215,1.63231,1.46498,0.46269,0.41176,0.38779,0.19191,1.78826,2.28505,1.60361,0.01208,0.01208,0.01208
6,144.969,1.57754,1.51589,1.41553,0.61394,0.46089,0.51099,0.28401,1.62084,1.58757,1.45202,0.0101,0.0101,0.0101
7,166.637,1.52861,1.42167,1.37739,0.62061,0.55882,0.60509,0.34358,1.48398,1.464,1.35781,0.00812,0.00812,0.00812
8,188.343,1.45657,1.30976,1.32222,0.67251,0.58608,0.6516,0.38907,1.4174,1.32113,1.31237,0.00614,0.00614,0.00614
9,209.101,1.40553,1.23603,1.29928,0.70413,0.58046,0.66516,0.4062,1.35708,1.26812,1.27551,0.00416,0.00416,0.00416
10,229.322,1.34313,1.17525,1.26822,0.72079,0.57223,0.6804,0.41835,1.34868,1.23034,1.26512,0.00218,0.00218,0.00218
