epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4039,2.25523,2.60204,2.04704,0,0,0,0,4.07314,448.175,25.2912,0.00659933,0.00659933,0.0736027
2,57.182,2.26933,2.37353,2.06296,0.05775,0.066,0.01702,0.00638,2.8049,117.23,3.66142,0.0119527,0.0119527,0.0456227
3,80.4194,2.17142,2.28809,1.99104,0.22561,0.22238,0.14151,0.04758,2.50787,4.75316,2.44575,0.015986,0.015986,0.0163227
4,104.28,2.03007,2.08662,1.89183,0.0544,0.04806,0.00895,0.00215,3.25536,13.9542,3.64915,0.01406,0.01406,0.01406
5,125.774,1.96958,1.94911,1.83669,0.43282,0.32138,0.32187,0.14757,2.05698,2.10944,1.89245,0.01208,0.01208,0.01208
6,147.477,1.89213,1.89566,1.74386,0.48421,0.33357,0.34612,0.15833,1.96745,2.07084,1.82575,0.0101,0.0101,0.0101
7,169.024,1.84375,1.77406,1.7057,0.51232,0.34935,0.38622,0.19205,1.88808,2.05501,1.7818,0.00812,0.00812,0.00812
8,190.7,1.73832,1.65348,1.62468,0.59314,0.4627,0.50943,0.27168,1.68201,1.6643,1.60726,0.00614,0.00614,0.00614
9,211.935,1.68278,1.57388,1.58095,0.5891,0.48924,0.53989,0.28307,1.6902,1.62833,1.6149,0.00416,0.00416,0.00416
10,232.957,1.63539,1.52906,1.55447,0.62161,0.47727,0.53939,0.2972,1.61879,1.56522,1.54878,0.00218,0.00218,0.00218
