epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.972,1.5988,2.75629,1.44538,0.66021,0.31707,0.44759,0.25744,1.41924,2.2916,1.27756,0.00329966,0.00329966,0.070303
2,52.8572,1.48509,1.71558,1.31938,0.59107,0.43042,0.47793,0.26711,1.5498,1.83752,1.38083,0.00597633,0.00597633,0.0396464
3,73.0944,1.49537,1.59611,1.33314,0.53801,0.50215,0.47812,0.24619,1.5496,1.74168,1.38817,0.007993,0.007993,0.0083297
4,98.0591,1.53595,1.60769,1.3768,0.53527,0.39383,0.41356,0.20964,1.69984,2.04904,1.53186,0.00703,0.00703,0.00703
5,119.262,1.50968,1.50633,1.34412,0.57128,0.46557,0.49641,0.26503,1.546,2.45779,1.35696,0.00604,0.00604,0.00604
6,139.685,1.44246,1.41009,1.30831,0.60155,0.50035,0.53567,0.30283,1.52156,1.65882,1.37852,0.00505,0.00505,0.00505
7,160.067,1.3845,1.30369,1.26558,0.70349,0.53659,0.62273,0.36507,1.41784,1.41065,1.312,0.00406,0.00406,0.00406
8,180.715,1.34751,1.22694,1.23168,0.71174,0.6198,0.69217,0.42154,1.36164,1.25808,1.25553,0.00307,0.00307,0.00307
9,201.321,1.32586,1.17842,1.22034,0.72482,0.62554,0.70713,0.44171,1.29612,1.2132,1.20717,0.00208,0.00208,0.00208
10,221.777,1.26094,1.12054,1.18832,0.73459,0.64275,0.72088,0.45846,1.27298,1.1669,1.20426,0.00109,0.00109,0.00109
