epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.388,1.63255,2.72329,1.4522,0.91344,0.06056,0.24189,0.13134,1.55587,2.96728,1.34347,0.00653333,0.00653333,0.0738667
2,56.2284,1.58763,1.80023,1.38428,0.46712,0.23644,0.24475,0.12981,1.64411,2.57766,1.47481,0.0118932,0.0118932,0.0458932
3,76.8623,1.62586,1.72625,1.41981,0.33369,0.19871,0.15493,0.06663,2.27593,2.85609,2.03235,0.0159331,0.0159331,0.0165997
4,96.7474,1.68741,1.7141,1.45848,0.20603,0.0868,0.05058,0.0213,2.61234,4.08685,2.42435,0.01406,0.01406,0.01406
5,117.451,1.65059,1.57353,1.44421,0.39848,0.38737,0.31816,0.15428,1.89088,2.45951,1.80684,0.01208,0.01208,0.01208
6,138.446,1.56735,1.47467,1.39185,0.61193,0.47962,0.51104,0.27554,1.6435,1.66053,1.46825,0.0101,0.0101,0.0101
7,158.126,1.51958,1.36812,1.35912,0.61416,0.4792,0.51932,0.27565,1.65472,1.63386,1.49469,0.00812,0.00812,0.00812
8,180.212,1.44822,1.28681,1.31209,0.66535,0.55524,0.62858,0.36756,1.42115,1.38547,1.31008,0.00614,0.00614,0.00614
9,200.875,1.39585,1.18647,1.28346,0.71547,0.59613,0.66701,0.40249,1.41662,1.27414,1.29193,0.00416,0.00416,0.00416
10,221.692,1.32667,1.12804,1.24717,0.71408,0.62769,0.69824,0.43715,1.33152,1.20555,1.24772,0.00218,0.00218,0.00218
