epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4955,2.02591,2.35529,1.77472,0.00448,0.12554,0.00087,0.00022,3.85023,616.151,9.18997,0.00329966,0.00329966,0.070303
2,55.1339,2.05963,2.07703,1.84591,0.06964,0.0703,0.02372,0.00766,3.0646,4.39542,3.06618,0.00597633,0.00597633,0.0396464
3,76.2093,2.03022,2.03204,1.83465,0.23494,0.20803,0.14761,0.05164,2.23959,6.04081,2.35164,0.007993,0.007993,0.0083297
4,99.7052,1.91466,1.88902,1.73992,0.35271,0.25329,0.21641,0.09632,2.24177,2.69362,2.08653,0.00703,0.00703,0.00703
5,121.737,1.84618,1.74282,1.67571,0.47109,0.27762,0.28725,0.13768,1.94128,2.34238,1.84458,0.00604,0.00604,0.00604
6,142.872,1.74221,1.66181,1.60336,0.50298,0.46055,0.46121,0.2307,1.82572,1.79996,1.69349,0.00505,0.00505,0.00505
7,163.74,1.68491,1.56616,1.54862,0.59113,0.49368,0.53493,0.29502,1.63339,1.55463,1.55126,0.00406,0.00406,0.00406
8,184.309,1.62585,1.45929,1.48157,0.63392,0.49426,0.54937,0.29939,1.62611,1.53808,1.51398,0.00307,0.00307,0.00307
9,204.834,1.57734,1.40043,1.46029,0.64001,0.54161,0.60094,0.34675,1.51383,1.42662,1.41309,0.00208,0.00208,0.00208
10,225.225,1.52311,1.35288,1.43106,0.67714,0.56872,0.63866,0.37084,1.52122,1.3547,1.41757,0.00109,0.00109,0.00109
